navn,mængde,produkt_id
Fioricet with Codeine,17.65,56
Meloxicam,44.36,80
Doxorubicin Hydrochloride,66.19,14
Health Mart Nicotine,65.97,42
Caduet,18.43,28
DAILY DEFLECTOR MOISTURIZER,26.17,41
Sodium Chloride,35.24,64
Equaline migraine formula,13.17,7
APRIL Bath and Shower Warm Vanilla Sugar Scented Antibacterial HAND SANITIZER,41.97,46
Aspirin,72.68,88
Lisinopril,70.44,86
LidAll,34.25,33
GODDESS GARDEN ORGANICS Lavender Mint DAILY BROAD SPECTRUM SPF 15,97.83,53
WHITE LAVENDAR AND MINT ANTIBACTERIAL GENTLE FOAMING HAND SP,13.44,9
Sodium Polystyrene Sulfonate,60.52,96
Umcka Cold Flu Sugar Free Orange,25.19,34
hemorrhoidal,52.49,35
Desipramine Hydrochloride,85.18,99
acyclovir,32.53,34
Sunmark fiber laxative,39.6,88
shoprite ni-calm,74.9,24
Aplicare Physicians Antibacterial,46.82,35
SWEET POTATO,32.83,24
acid controller,29.24,59
Latuda,13.67,65
Microgestin,65.17,39
Amoxicillin,81.02,96
Nuvigil,50.23,75
EMBEDA,30.08,4
Clarithromycin,96.47,65
Carrot,57.02,6
CEFAZOLIN,38.62,72
Birth Ease,11.62,91
Lorazepam,80.54,14
Quetiapine fumarate,21.48,3
Ketotifen Fumarate,41.39,55
Safe Sea Sunscreen With Jellyfish Sting Protective SPF 15,49.27,75
Arnicare,72.05,11
ZIKS ARTHRITIS PAIN RELIEF,46.97,19
Citalopram Hydrobromide,5.82,96
Paroxetine,7.98,82
Alba TerraTint Garnet SPF 15 Lip Balm,79.95,60
Sunmark Pain Reliever,50.8,23
Desert Beige Perfecting Makeup SPF 25,2.92,23
Neutrogena Healthy Skin 3 in 1 Concealer for Eyes,45.43,74
Trihexyphenidyl Hydrochloride,4.34,8
Polibar ACB,6.28,38
Terazosin Hydrochloride Anhydrous,71.9,50
Metoprolol Tartrate,12.35,64
Moexipril Hydrochloride and Hydrochlorothiazide,30.68,78
Mucinex,38.51,84
Dialyvite Supreme D,17.95,87
Lorazepam,38.84,87
Lovastatin,8.09,71
Anti-Dandruff,68.71,87
Doxycycline Hyclate,48.2,72
fexofenadine hydrochloride,6.29,54
DOXIL,93.0,35
Pilocarpine hydrochloride,80.77,18
Thioridazine Hydrochloride,5.43,54
Clindamycin Phosphate,96.5,36
Ethambutol Hydrochloride,47.78,69
Head and Shoulders,29.98,5
Clean and Clear,26.47,70
NS Support,94.27,18
Topiramate,10.92,20
Morphine Sulfate,12.34,38
CENTER-AL - FESTUCA PRATENSIS POLLEN,48.71,40
SINGULAIR,11.73,87
Dextrose,94.88,23
SPF 25 UVA/UVB,20.32,85
Buspirone Hydrochloride,91.14,54
topcare anti diarrheal,63.72,12
Tri-Vit With Fluoride And Iron Drops,6.45,57
EROS CLASSIC SILICONE BODYGLIDE,73.82,23
Fresh Blueberry Antibacterial Foaming Hand Wash,89.26,59
Varibar Pudding,31.81,83
Ibutilide Fumarate,88.52,42
Terbinafine Hydrochloride,90.93,29
Tobramycin and Dexamethasone,87.07,67
REFISSA,50.35,82
PredniSONE,82.78,33
Arrythmiaforce,42.05,87
Promethazine Hydrochloride,76.13,26
Levoxyl,72.22,16
Cefadroxil,70.15,24
Indomethacin,13.16,3
leader childrens pain reliever,77.48,77
Petrolatum,54.78,94
Nighttime Cold and Flu Relief Therapy,12.52,97
Extra Strength Headache Relief,10.7,12
A.H.C Real Eye For Face,92.03,45
KROGER SPF 4 TANNING OIL,25.97,4
05 Moisture Foundation SPF 15,43.4,42
Alba TerraTint Blaze SPF 15 Lip Balm,43.71,50
Olanzapine,52.94,83
Simvastatin,91.36,46
Prednisone,24.98,52
Petasites Plantago,16.5,100
Omeprazole,16.23,40
ESIKA,84.87,89
Oxygen,11.24,72
Treatment Set TS336851,38.41,92
Plasma-Lyte 148,54.86,84
Constipation,5.42,100
Acetylcysteine,56.59,22
West Wheat Grass,7.87,9
Allergy Relief,21.13,10
Fluocinonide,57.05,24
ARSAINTE ECO THERAPY SUPER REPAIR BB,12.65,15
Quinapril,79.19,9
DERMOPLUS MEDICATED,28.12,48
ED-A-HIST PSE,73.53,56
Regonol,83.24,35
Diphenoxylate Hydrochloride and Atropine Sulfate,81.47,29
Divalproex Sodium,91.38,17
Fluoxetine,61.39,98
Mentholatum Pain Relief Muscle Rub,97.27,76
Mepivacaine Hydrochloride,78.49,18
Health Mart Pharmacy Childrens Loratadine,43.97,2
Gabapentin,74.29,9
Hemvento,41.81,42
Antiseptic,42.4,9
Topcare infants pain relief,35.88,82
Temazepam,14.1,2
Ciprofloxacin,99.74,23
CNL8,19.34,14
COCONUT LIME ANTIBACTERIAL SANITIZER,65.0,16
Cows Milk,19.61,25
Dextroamphetamine Saccharate, Amphetamine Aspartate, Dextroamphetamine Sulfate and Amphetamine Sulfate,75.06,23
Critic Aid Skin,28.09,40
Lady Speed Stick,20.98,79
MECLIZINE HYDROCHLORIDE,19.16,22
COREG,48.67,21
No7 Time Resisting Day Sunscreen SPF 12,50.43,86
Carvedilol,46.73,46
Peptic Relief,99.12,66
TOPCARE,95.29,36
Meijer,71.16,83
Lymphomyosot X,45.64,3
Metronidazole,77.08,53
up and up ibuprofen,54.73,33
Sucralfate,5.97,39
Perphenazine,61.59,15
Tranylcypromine Sulfate,5.74,17
Methylprednisolone,62.24,55
Apis Gelsemium,63.99,92
Aplicare Povidone-Iodine,91.82,46
Promethazine hydrochloride,91.78,100
Delzicol,30.57,34
SCRUBS Foaming Hand Sanitizer,43.35,6
Colds Sores and Herpes,34.38,29
tioconazole 1,32.72,9
Carvedilol,16.72,91
Smart Sense Infants Pain Relief,93.15,37
Haloperidol,9.32,97
Mixture of Standardized and Non-Standardized Southern Grasses,75.4,19
Fluconazole,8.24,13
Skin So Soft Bug Guard Plus IR3535,3.85,72
Select Brand Anti-Nausea,77.98,44
HYDROMORPHONE HYDROCHLORIDE,23.86,72
Dexamethasone Intensol,9.5,27
Amoxicillin,12.9,98
Captopril and Hydrochlorothiazide,43.71,37
Instant Foam Hand Sanitizer,91.31,61
SALMON,29.91,50
Seretin,90.36,89
Dreumex Omnicare,60.37,69
ZENPEP,58.77,38
ARANESP,52.37,49
Clindamycin hydrochloride,98.07,82
Oxygen,2.08,8
Pier 1 Imports Coconut Breeze Anti-bacterial Hand Wash,43.0,65
Coppertone oil free,31.44,65
LBEL Couleur Luxe Rouge Amplifier XP amplifying SPF 15,88.21,72
Orajel,69.79,7
Sanigizer Plus,64.55,62
CLE DE PEAU BEAUTE FOUNDATION L,75.67,71
Free Radical,6.69,48
Parinum 40 (Number 57),96.53,13
Nostrilla,57.72,72
Norvasc,88.99,45
Relief plus G12,96.65,16
TOMATO SUN,84.43,2
Sulfasalazine,44.83,34
Hydrocodone bitartrate and ibuprofen,25.17,26
Doxycycline,5.15,92
Paroxetine,59.65,88
ChapIce Medicated Balm,3.53,76
Midazolam HCl,87.16,75
Metformin hydrochloride,12.9,87
Irbesartan,54.69,19
Kleenex Ultra Moisturizing Hand Sanitizer,71.8,77
Candida Alb,34.86,41
SENSAI CONCEALER (BRUSH TYPE),90.01,64
Glyburide-Metformin Hydrochloride,88.93,32
Glipizide,99.6,32
Vitamin A D,79.32,94
Night Time Original,19.15,26
Etodolac,19.89,42
Eszopiclone,30.89,53
Colgate Max Clean,59.05,92
Metoclopramide Hydrochloride,21.52,51
leader nose,30.17,5
TopCare Cold Sore Treatment,88.86,90
OXYGEN,48.22,40
SyImmune,60.68,53
MuscleCare,99.94,26
Childrens Mucinex,52.31,59
Meperidine Hydrochloride,17.4,16
California Black Oak,14.64,88
BlancTis Forte II,75.82,4
Chlor-Tabs,56.68,11
Azithromycin,76.9,44
Gabapentin,37.75,42
Vaporizing Chest Rub,96.0,3
Secret,26.34,29
Topiramate,18.79,39
Diazepam,11.63,80
Lisinopril,75.55,16
Ketorolac Tromethamine,74.79,54
Citalopram,97.42,84
The Fresh Market SPF 15 Lip Balm Broad Spectrum Acai Berry,14.77,90
care one flu and sore throat,98.45,80
SanaTos,95.06,48
Extra Strength Acetaminophen PM,72.67,83
Good Neighbor Pharmacy Acid Control 150,33.29,66
Oxcarbazepine,84.02,91
BASIS ALL CLEAR BAR,13.61,16
Echinacea Thuja,59.86,89
Promethazine Hydrochloride,24.91,54
Lisinopril,51.47,91
Famciclovir,15.07,85
Clindamycin Phosphate,74.41,44
Metronidazole,45.38,82
LIMA BEAN,10.94,97
Clindamycin Hydrochloride,7.99,35
Hydrocodone Polistirex and Chlorpheniramine Polistirex,17.02,64
Premier Value Chest and Sinus Congestion relief,19.98,48
Pear,82.09,49
