id,navn,kostPris,popularitet,salgsPris
1,Pail For Lid 1537cake,81.71,4,-1.0
2,Syrup - Kahlua Chocolatecake,83.57,3,-1.0
3,Broom And Broom Rack Whitecake,60.32,3,-1.0
4,Muffin Carrot - Individualcake,26.25,1,-1.0
5,Juice Peach Nectarcake,77.5,4,-1.0
6,"Wine - White French Crosscake",18.07,4,-1.0
7,Pork - Groundcake,69.63,1,-1.0
8,Bonito Flakes - Toku Katsuocake,21.29,5,-1.0
9,Bay Leafcake,33.78,3,-1.0
10,"Pepsi - Diet 355 Mlcake",58.27,4,-1.0
11,Salmon Steak - Cohoe 8 Ozcake,68.57,4,-1.0
12,Versatainer Nc - 8288cake,31.56,3,-1.0
13,Banana - Greencake,75.61,3,-1.0
14,Loquatcake,50.79,1,-1.0
15,"Coke - Diet 355 Mlcake",42.4,5,-1.0
16,Pie Filling - Cherrycake,10.44,1,-1.0
17,Tomatoes - Heirloomcake,54.48,2,-1.0
18,"Soup - Campbells Minestronecake",64.96,3,-1.0
19,Soup - Campbells Beef Strogonoffcake,41.24,3,-1.0
20,Muffin Batt - Ban Dream Zerocake,94.47,3,-1.0
21,Milk - 2% 250 Mlcake,58.15,5,-1.0
22,Oil - Macadamiacake,99.45,4,-1.0
23,Pastry - Banana Muffin - Minicake,57.71,4,-1.0
24,Sprouts - Baby Pea Tendrilscake,5.73,1,-1.0
25,"Rum - Dark, Bacardi, Blackcake",50.44,1,-1.0
26,Table Cloth 62x114 Whitecake,82.92,5,-1.0
27,Tea - Herbal I Love Lemoncake,69.47,4,-1.0
28,Syrup - Monin - Passion Fruitcake,42.55,1,-1.0
29,Chocolate - Darkcake,3.2,3,-1.0
30,Bagels Poppyseedcake,35.52,1,-1.0
31,"Tomatoes - Vine Ripe, Yellowcake",76.38,2,-1.0
32,Wine - Ice Winecake,61.99,4,-1.0
33,"Bread - Bagels, Plaincake",55.37,3,-1.0
34,"Pasta - Linguini, Drycake",78.95,4,-1.0
35,"Cup - 6oz, Foamcake",2.0,5,-1.0
36,Dooleys Toffeecake,93.22,4,-1.0
37,Nantucket Cranberry Juicecake,17.76,3,-1.0
38,"Mushroom - Porcini, Drycake",19.15,1,-1.0
39,Creme De Menth - Whitecake,37.59,5,-1.0
40,"Oregano - Dry, Rubbedcake",68.1,4,-1.0
41,Soup - Base Broth Chixcake,65.06,4,-1.0
42,Clams - Baycake,7.89,1,-1.0
43,Wine - Alsace Riesling Reservecake,34.32,1,-1.0
44,Bread Base - Toscanocake,80.15,5,-1.0
45,Monkfish Fresh - Skin Offcake,54.79,5,-1.0
46,Thermometer Digitalcake,3.94,1,-1.0
47,Cabbage - Greencake,7.02,4,-1.0
48,"Bread - Roll, Italiancake",76.32,5,-1.0
49,Beer - True North Lagercake,24.13,4,-1.0
50,"Napkin - Dinner, Whitecake",62.59,3,-1.0
51,Snapple Lemon Teacake,28.44,4,-1.0
52,"Club Soda - Schweppes, 355 Mlcake",16.87,4,-1.0
53,"Tuna - Canned, Flaked, Lightcake",93.71,4,-1.0
54,Pecan Raisin - Tartscake,89.99,4,-1.0
55,Bread - Bistro Whitecake,85.08,4,-1.0
56,Apple - Royal Galacake,78.48,3,-1.0
57,Muffin - Blueberry Individualcake,19.57,5,-1.0
